39.984702,116.318417,1224701584
39.984688,116.318385,1224701600
39.984655,116.318263,1224701605
39.984539,116.317294,1224701625
39.984606,116.317065,1224701630
39.984523,116.315823,1224701665
39.984501,116.314907,1224701685
39.984532,116.314808,1224701690
39.984427,116.31424,1224701705
39.984501,116.313659,1224701720
39.984618,116.314323,1224701725
39.984708,116.313311,1224701750
39.984641,116.312123,1224701780
39.984628,116.311026,1224701810
39.984616,116.310534,1224701825
39.984698,116.310063,1224701835
39.98454,116.309656,1224701855
39.98449,116.308638,1224701885
39.984491,116.307902,1224701910
39.984488,116.307434,1224701930
39.984427,116.307292,1224701935
39.984466,116.3063,1224701965
39.984456,116.306047,1224701970
39.984356,116.304909,1224702000
39.984349,116.304083,1224702020
39.984437,116.303813,1224702030
39.984342,116.303444,1224702040
39.98438,116.302754,1224702060
39.984341,116.302094,1224702080
